Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
2022 Chevrolet Corvette Stingray Convertible 3LT Z51,N,2022,Chevrolet,Chevrolet Corvette C8,,2020s,American,Convertibles,49,Heeter26 https://bringatrailer.com/member/heeter26/,Private Party,,Red,,"2,800",Miles,"Landrum, South Carolina 29356",1G1YC3D45N5114040,Not Sold,"$87,000",Wednesday,June,7,8:20pm,2023,22,https://bringatrailer.com/listing/2022-chevrolet-corvette-stingray-convertible-17/,"6,610",816
13k-Mile 2006 Mazda MX-5 Miata Grand Touring 6-Speed,Y,2006,Mazda,Mazda NC MX-5 Miata,nc,2000s,Japanese,Convertibles,67,aegmotorsports https://bringatrailer.com/member/aegmotorsports/,Dealer,Red,Black,Chiefs1 https://bringatrailer.com/member/chiefs1/,13k,Miles,"Saint Cloud, Florida 34771",JM1NC25F260100440,Sold,"$22,750",Wednesday,June,7,8:16pm,2023,24,https://bringatrailer.com/listing/2006-mazda-mx-5-miata-64/,"8,396",756
One-Owner 1967 MG Midget,Y,1967,MG,MG Midget,,1960s,British,Convertibles,108,MenardAuto1958 https://bringatrailer.com/member/menardauto1958/,Dealer,,Red,Concho https://bringatrailer.com/member/concho/,29k,Miles,"Ruma, Illinois 62278",GAN4L52413,Sold,"$13,456",Wednesday,June,7,12:08am,2023,16,https://bringatrailer.com/listing/1967-mg-midget-12/,"6,624",515
1966 Triumph TR4A IRS,N,1966,Triumph,Triumph TR4,,1960s,British,Located in Europe,37,dakotaformosa https://bringatrailer.com/member/dakotaformosa/,Private Party,Green,Black,tompat https://bringatrailer.com/member/tompat/,55k,Miles,"Poole, United Kingdom",CTC74388L,Sold,"$17,500",Wednesday,June,7,12:06am,2023,20,https://bringatrailer.com/listing/1966-triumph-tr4a-irs-19/,"7,975",808
35k-Mile 2006 BMW Z4 M Roadster,N,2006,BMW,BMW Z4 M Roadster,,2000s,German,Convertibles,30,cew2604 https://bringatrailer.com/member/cew2604/,Private Party,,Black,rxdruggist https://bringatrailer.com/member/rxdruggist/,35k,Miles,"Decatur, Alabama 35603",5UMBT93586LE89667,Sold,"$30,600",Tuesday,June,6,11:56pm,2023,16,https://bringatrailer.com/listing/2006-bmw-z4-m-roadster-85/,"4,324",470
1939 Plymouth P8 Deluxe 2-Door Convertible Coupe,N,1939,Plymouth,Plymouth Deluxe/Special Deluxe,,1930s,American,Convertibles,26,sunlinerfan https://bringatrailer.com/member/sunlinerfan/,Private Party,Red,Tan,Boudriotfan https://bringatrailer.com/member/boudriotfan/,7k,Miles,"Mount Prospect, Illinois 60056",3241283,Sold,"$25,250",Tuesday,June,6,11:47pm,2023,37,https://bringatrailer.com/listing/1939-plymouth-p8-deluxe-convertible-coupe/,"6,260",618
Modified 2016 Chevrolet Corvette Z06 Convertible 3LZ,N,2016,Chevrolet,Chevrolet Corvette C7,,2010s,American,Convertibles,29,Lagwig https://bringatrailer.com/member/lagwig/,Private Party,,,,7k,Miles,"Pontiac, Michigan 48341",1G1YYU3D6XG5612316,Not Sold,"$70,000",Tuesday,June,6,11:46pm,2023,32,https://bringatrailer.com/listing/2016-chevrolet-corvette-z06-convertible-8/,"4,972",485
1988 Porsche 911 Carrera Cabriolet G50,N,1988,Porsche,Porsche 911 Carrera 3.2,"g50, g50 911, g50 carrera, impact bumper, impact-bumper",1980s,German,Convertibles,36,GLCC2017 https://bringatrailer.com/member/glcc2017/,Dealer,,White,,108k,Miles,"Hilton, New York 14468",WP0EB0913JS171326,Not Sold,"$34,100",Tuesday,June,6,11:43pm,2023,16,https://bringatrailer.com/listing/1988-porsche-911-carrera-cabriolet-56/,"6,600",761
1983 Ford Mustang GT 5.0 Convertible 5-Speed,Y,1983,Ford,Ford Fox-Body Mustang,,1980s,American,Convertibles,26,apappas1988 https://bringatrailer.com/member/apappas1988/,Dealer,Red,Black,Ikashanidds https://bringatrailer.com/member/ikashanidds/,16k,Miles,"Costa Mesa, California 92627",1FABP27F1DF138276,Sold,"$10,260",Tuesday,June,6,11:29pm,2023,5,https://bringatrailer.com/listing/1983-ford-mustang-glx-2d-covertible/,"4,698",314
2001 Audi TT Roadster 225 Quattro 6-Speed,Y,2001,Audi,Audi TT,,2000s,German,Convertibles,44,therealjamess https://bringatrailer.com/member/therealjamess/,Private Party,Gray,Red,brotherguy716 https://bringatrailer.com/member/brotherguy716/,35k,Miles,"Norristown, Pennsylvania 19406",TRUUT28N711004066,Sold,"$22,500",Tuesday,June,6,11:28pm,2023,38,https://bringatrailer.com/listing/2001-audi-tt-roadster-6/,"6,721",553
1954 MG TF,Y,1954,MG,MG TF,,1950s,British,Convertibles,33,Guardian_Auto https://bringatrailer.com/member/guardian_auto/,Dealer,Red,Black,ProjectOpelCorvette https://bringatrailer.com/member/projectopelcorvette/,22k,Miles,"Pocatello, Idaho 83202",HDC462132,Sold,"$20,250",Tuesday,June,6,11:14pm,2023,44,https://bringatrailer.com/listing/1954-mg-tf-70/,"6,353",769
Porsche 356 Speedster Replica by JPS Motorsports,N,,Porsche,Porsche 356 Replica,,2020s,German,Convertibles,19,dpblues2000 https://bringatrailer.com/member/dpblues2000/,Dealer,,Blue,royes https://bringatrailer.com/member/royes/,167,Miles,"Waltham, Massachusetts 02451",RI02140,Sold,"$50,000",Tuesday,June,6,10:58pm,2023,20,https://bringatrailer.com/listing/porsche-356-speedster-replica-by-jps-motorsports-2/,"7,806",696
2.0L 16V-Powered 1993 Volkswagen Cabriolet Classic Collector’s Edition 5-Speed,Y,1993,Volkswagen,Volkswagen Golf/Rabbit Cabriolet,vw,1990s,German,Convertibles,79,Dare1 https://bringatrailer.com/member/dare1/,Private Party,Green,Beige,Mjf380 https://bringatrailer.com/member/mjf380/,80k,Miles,"Rolling Hills Estates, California 90275",WVWBC5154PK013856,Sold,"$17,750",Tuesday,June,6,10:54pm,2023,45,https://bringatrailer.com/listing/1993-volkswagen-cabriolet-16/,"9,584",642
1988 BMW 325i Convertible 5-Speed,Y,1988,BMW,BMW E30 3-Series,,1980s,German,Convertibles,29,kcarlson1206 https://bringatrailer.com/member/kcarlson1206/,Private Party,Red,Black,Tom_1982 https://bringatrailer.com/member/tom_1982/,77k,Miles,"Olney, Maryland 20832",WBABB1306J8271519,Sold,"$17,000",Tuesday,June,6,10:52pm,2023,38,https://bringatrailer.com/listing/1988-bmw-325i-51/,"7,831",683
Supercharged 2008 Honda S2000,N,2008,Honda,Honda S2000,ap2,2000s,Japanese,Convertibles,104,Jmorg789 https://bringatrailer.com/member/jmorg789/,Private Party,,Silver,Srich242 https://bringatrailer.com/member/srich242/,12k,Miles,"Oak Hill, Tennessee 37220",JHMAP21458S002404,Sold,"$45,000",Tuesday,June,6,10:40pm,2023,26,https://bringatrailer.com/listing/2008-honda-s2000-79/,"7,360",656
1967 Triumph Vitesse 2-Litre Convertible,N,1967,,,,,,,,,,,GCCars https://bringatrailer.com/member/gccars/,,,,,,,Tuesday,June,6,10:15pm,,34,https://bringatrailer.com/listing/1967-triumph-vitesse-2/,"7,577",483
47k-Mile 2001 Mercedes-Benz SLK230 Kompressor 6-Speed,Y,2001,Mercedes-Benz,Mercedes-Benz SLK-Class,,2000s,German,Convertibles,13,CARthusiastnc https://bringatrailer.com/member/carthusiastnc/,Dealer,Black,Yellow,rottyjoe https://bringatrailer.com/member/rottyjoe/,47k,Miles,"Angier, North Carolina 27501",WDBKK49F51F179232,Sold,"$11,000",Tuesday,June,6,10:13pm,2023,29,https://bringatrailer.com/listing/2001-mercedes-benz-slk230-kompressor-2/,"2,944",335
1963 Pontiac Bonneville Convertible,N,1963,Pontiac,Pontiac Bonneville,,1960s,American,Located in Canada,29,PHickey https://bringatrailer.com/member/phickey/,Private Party,,Ivory,,82k,Miles,"West Lorne, Ontario, Canada",863W39439,Not Sold,"$18,500",Tuesday,June,6,10:11pm,2023,11,https://bringatrailer.com/listing/1963-pontiac-bonneville-11/,"5,623",500
1948 Lincoln Continental Cabriolet,Y,1948,Lincoln,Lincoln Continental,,1940s,American,Convertibles,59,Lin1189 https://bringatrailer.com/member/lin1189/,Dealer,Green,,benkopf https://bringatrailer.com/member/benkopf/,76k,Miles,"Fort Myers, Florida 33919",8H181071,Sold,"$28,500",Tuesday,June,6,9:50pm,2023,42,https://bringatrailer.com/listing/1948-lincoln-continental-cabriolet-3/,"10,198","1,010"
