Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
1948 Kurtis Midget Race Car,No,No,1948,Kurtis,"","",1940s,American,Race Cars,53,911r (https://bringatrailer.com/member/911r/) ,Dealer,White,Black,Mitchfrisk (https://bringatrailer.com/member/mitchfrisk/) ,Unknown,Unknown,"Portland, Oregon 97227",F282-48,Sold,"$30,000",Wednesday,August,31,2:49pm,30,https://bringatrailer.com/listing/1948-kurtis-midget/,"8,305",572,"White Paint w/Red Livery, Black Vinyl Bucket Seat"
426 Hemi-Powered 1974 Dodge Charger NASCAR Race Car,No,No,1974,Dodge,Dodge Charger,"",1970s,American,Race Cars,78,aribeau (https://bringatrailer.com/member/aribeau/) ,Dealer,Yellow,,,Unknown,Unknown,"Tucson, Arizona 85716",N/A,Not Sold,"Bid to $41,426",Wednesday,August,31,12:41pm,14,https://bringatrailer.com/listing/1974-dodge-charger-5/,"17,021",774,"Yellow, Black, & Red #31 Livery"
59-Years-Owned 1950 Allard J2,Yes,No,1950,Allard,"","",1950s,British,Race Cars,203,AFPic (https://bringatrailer.com/member/afpic/) ,Private Party,Maroon,Tan,,"6,600",Miles,"Marstons Mills, Massachusetts 02648",99J1738RHD,Not Sold,"Bid to $242,500",Tuesday,August,30,11:07am,29,https://bringatrailer.com/listing/1950-allard-j2-2/,"47,415","2,175","Maroon Paint, Tan Leather Upholstery"
Coyote-Powered 2006 Ford Mustang 6-Speed Race Car,No,No,2006,Ford,Ford Mustang S197 2005-2014,"",2000s,American,Race Cars,76,405racing (https://bringatrailer.com/member/405racing/) ,Private Party,Black,,Pettyfan43 (https://bringatrailer.com/member/pettyfan43/) ,34k,Miles,"Brownsville, Texas 78526",1ZVFT80N165114903,Sold,"$32,000",Monday,August,29,4:20pm,19,https://bringatrailer.com/listing/2006-ford-mustang-83/,"10,219",517,"Red, Black, & White Paint"
2008 BMW M3 Coupe Race Car 6-Speed,No,No,2008,BMW,BMW E90/E92/E93 M3,"",2000s,German,Race Cars,43,enthusiastspec (https://bringatrailer.com/member/enthusiastspec/) ,Private Party,Black,Black,kdu3 (https://bringatrailer.com/member/kdu3/) ,Unknown,Unknown,"West Chester, Pennsylvania 19382",094,Sold,"$52,000",Monday,August,29,4:04pm,27,https://bringatrailer.com/listing/2008-bmw-m3-coupe-7-2/,"10,212",463,"Matte Gray & Gloss Black Vinyl Wrap, Black Cobra Racing Seat"
1959 Austin-Healey Bugeye Sprite Race Car,No,Yes,1959,Austin-Healey,Austin-Healey Bugeye Sprite,"",1950s,British,Race Cars,47,chsutherland (https://bringatrailer.com/member/chsutherland/) ,Dealer,Blue,,LotusRacing (https://bringatrailer.com/member/lotusracing/) ,Unknown,Unknown,"Saint Petersburg, Florida 33701",,Sold,"$12,500",Friday,August,26,11:49am,40,https://bringatrailer.com/listing/1959-austin-healey-bug-eye-sprite-64/,"14,865",875,Repainted Blue
2016 BMW M235i Racing,No,No,2016,BMW,BMW 2-Series,"",2010s,German,Race Cars,34,Ledracing6265 (https://bringatrailer.com/member/ledracing6265/) ,Private Party,White,Black,,Unknown,Unknown,"Porter Ranch, California 91326",WBA1J7C52GV358857,Not Sold,"Bid to $50,000",Thursday,August,25,1:33pm,52,https://bringatrailer.com/listing/2016-bmw-m235i-r-2/,"9,872",512,"White Paint w/Blue, Red, and Gray Graphics, Black-Finished 18"" BBS Wheels"
1968 Chevrolet Corvair 500 Sport Coupe Race Car,No,No,1968,Chevrolet,Chevrolet Corvair (1965-1969),"",1960s,American,Race Cars,57,Speed76 (https://bringatrailer.com/member/speed76/) ,Private Party,Yellow,,Timmelsmith (https://bringatrailer.com/member/timmelsmith/) ,Unknown,Unknown,"Louisville, Kentucky 40222",101378W107615,Sold,"$16,000",Thursday,August,25,12:54pm,17,https://bringatrailer.com/listing/1968-chevrolet-corvair-5/,"16,424",792,Yellow w/Black Stripes
1974 Alfa Romeo GTV Race Car,No,No,1974,Alfa Romeo,Alfa Romeo 105/115 Series Coupe,"",1970s,Italian,Race Cars,74,axlerod23 (https://bringatrailer.com/member/axlerod23/) ,Dealer,White,White,oilleak (https://bringatrailer.com/member/oilleak/) ,Unknown,Unknown,"Greeley, Colorado 80634",AR3024687,Sold,"$32,100",Wednesday,August,24,12:55pm,27,https://bringatrailer.com/listing/1974-alfa-romeo-gtv-111/,"14,494","1,020","Red, White, and Green Paint Scheme, White Race-Prepped Interior"
1995 BMW M3 Coupe 5-Speed Track Car,No,No,1995,BMW,BMW E36 M3,3 series3-seriese36e36 m3,1990s,German,Race Cars,64,1600veloce (https://bringatrailer.com/member/1600veloce/) ,Dealer,Yellow,,Davidz (https://bringatrailer.com/member/davidz/) ,136k,Miles,"North Salem, New York 10560",WBSBF932XSEH00926,Sold,"$39,000",Tuesday,August,23,1:28pm,41,https://bringatrailer.com/listing/1995-bmw-m3-250/,"19,776",751,Dakar Yellow Paint
2016 BMW M235i Racing,No,No,2016,BMW,BMW M2,"",2010s,German,Race Cars,39,Ledracing6265 (https://bringatrailer.com/member/ledracing6265/) ,Private Party,White,Black,,11k,Miles,"Porter Ranch, California 91326",WBA1J7C51GV358851,Not Sold,"Bid to $59,600",Monday,August,22,3:28pm,33,https://bringatrailer.com/listing/2016-bmw-m235i-r-3/,"9,555",561,"White Paint w/ Black, Red, and Gray Graphics, Black-Finished 18"" BBS Wheels"
Chevrolet Monte Carlo NASCAR Race Car,No,No,,Chevrolet,Chevrolet Monte Carlo,"",2000s,American,Race Cars,41,LukAutoGroup (https://bringatrailer.com/member/lukautogroup/) ,Dealer,White,,darrach01 (https://bringatrailer.com/member/darrach01/) ,Unknown,Unknown,"Fort Lauderdale, Florida 33315",RCR71,Sold,"$21,000",Saturday,August,20,11:38am,18,https://bringatrailer.com/listing/2004-chevrolet-monte-carlo-15/,"9,662",298,"White, Red, & Black #7 4Kids Livery"
21-Years-Owned 1958 Chevrolet Corvette Race Car,Yes,No,1958,Chevrolet,Chevrolet Corvette C1,c1,1950s,American,"Convertibles, Race Cars",54,rpo684 (https://bringatrailer.com/member/rpo684/) ,Private Party,White,Black,,21k,Miles,"Phoenix, Arizona 85022",J58S105541,Not Sold,"Bid to $65,500",Wednesday,August,17,3:13pm,35,https://bringatrailer.com/listing/1958-chevrolet-corvette-51/,"11,409",942,"Refinished in White w/Blue Stripes, Bucket Seats w/Black Upholstery"
Modified 1968 Porsche 912,No,Yes,1968,Porsche,Porsche 912,"",1960s,German,Race Cars,139,PhilGilsdorf (https://bringatrailer.com/member/philgilsdorf/) ,Private Party,Yellow,Black,6MTandDCT (https://bringatrailer.com/member/6mtanddct/) ,7k,Miles,"Gainesville, Georgia 30506",12802244,Sold,"$100,412",Tuesday,August,16,4:26pm,33,https://bringatrailer.com/listing/1968-porsche-912-100/,"19,711",987,"Bahama Yellow Paint, Black Upholstery"
One-Owner 2015 Dodge Challenger Drag Pak,No,No,2015,Dodge,Dodge Challenger,"",2010s,American,Race Cars,29,2015dodgedragpak (https://bringatrailer.com/member/2015dodgedragpak/) ,Private Party,White,Black,Mrdwp (https://bringatrailer.com/member/mrdwp/) ,Unknown,Unknown,"Eagle, Idaho 83616",2015030,Sold,"$68,500",Monday,August,15,4:20pm,19,https://bringatrailer.com/listing/2012-dodge-dragpak-challenger/,"7,392",395,"White Paint w/ Blue Graphics, Black Interior Upholstery"
2009 BMW M3 Coupe Race Car 6-Speed,No,No,2009,BMW,BMW E90/E92/E93 M3,"",2000s,German,Race Cars,53,Jswcars55 (https://bringatrailer.com/member/jswcars55/) ,Private Party,White,,BurnerID (https://bringatrailer.com/member/burnerid/) ,Unknown,Unknown,"North Salem, Indiana 46165",0087,Sold,"$85,000",Monday,August,15,12:35pm,55,https://bringatrailer.com/listing/2009-bmw-bmw-e-92-race-car/,"12,048",623,White Vinyl Wrap
Tube-Frame Porsche 935 K3-Style Silhouette Race Car,No,No,,Porsche,"","",1980s,German,Race Cars,104,911r (https://bringatrailer.com/member/911r/) ,Dealer,Red,,mulsanne79 (https://bringatrailer.com/member/mulsanne79/) ,Unknown,Unknown,"Portland, Oregon 97227",9306700161R,Sold,"$260,000",Monday,August,15,11:25am,18,https://bringatrailer.com/listing/porsche-935-silhouette-car-2/,"23,672","1,073","Red Paint, Red w/Latino Racing/Coca-Cola Livery"
