Full Auction title,Is Owned,Is it 'no reserve',Year,Make,Model Family,Model Identifier,Era,Origin,Category,Number Of Comments,Seller,Private Party Or Dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles Of Kilometers,Location,Chassis/VIN,Status,Value,Auction End Day,Auction End Month,Auction End Day Number,Auction End Time,Number Of Bids,Auction URL,Number Of Views,Watchers,Color Description
Devin-Bodied 1956 Triumph TR3 Sports Racer,No,No,1956,Triumph,Triumph TR3,"",1950s,"American, British",Race Cars,62,vintagecarracer (https://bringatrailer.com/member/vintagecarracer/) ,,Black,,NickMountford (https://bringatrailer.com/member/nickmountford/) ,6k,Miles,,"",Sold,"$38,500",Wednesday,December,11,12:45pm,24,https://bringatrailer.com/listing/1956-devin-triumph-sports-racer/,"23,323",748,Red over Black
1968 Chevrolet Corvette Race Car,No,No,1968,Chevrolet,Chevrolet Corvette C3,c3,1960s,American,Race Cars,47,dixienormous (https://bringatrailer.com/member/dixienormous/) ,,"","",,,,,"",Not Sold,"Bid to $38,000",Monday,December,9,3:55pm,6,https://bringatrailer.com/listing/1968-chevrolet-corvette-28/,"14,554",434,""
2013 Aston Martin Vantage GT4 Race Car,No,No,2013,Aston Martin,Aston Martin V8 Vantage,"",2010s,British,Race Cars,30,Carsbythermal (https://bringatrailer.com/member/carsbythermal/) ,,White,,,9k,Miles,,"",Not Sold,"Bid to $58,000",Wednesday,December,4,1:11pm,20,https://bringatrailer.com/listing/2013-aston-martin-vantage-6/,"23,640",710,White Exterior
NHRA-Raced Fiat Topolino Drag Racer,No,No,,Fiat,"","",1930s,Italian,Race Cars,88,joealessandrino (https://bringatrailer.com/member/joealessandrino/) ,,Red,,,,,,"",Not Sold,"Bid to $2,100",Tuesday,December,3,1:55pm,11,https://bringatrailer.com/listing/1937-fiat-500a-topolino/,"13,870",288,Glitter Red Fiberglass
2014 Ford Mustang Boss 302S Factory-Built Race Car,No,No,2014,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,29,AJL1988 (https://bringatrailer.com/member/ajl1988/) ,,White,,,2.2,Miles,,"",Not Sold,"Bid to $55,000",Monday,December,2,2:01pm,13,https://bringatrailer.com/listing/2014-ford-mustang-boss-302s-race-car/,"14,160",478,Performance White
1974 Porsche 914 Race Car,No,Yes,1974,Porsche,Porsche 914 1.7/1.8/2.0,"",1970s,German,Race Cars,63,argo19c (https://bringatrailer.com/member/argo19c/) ,,"","",PorscheOhio (https://bringatrailer.com/member/porscheohio/) ,Unknown,Unknown,,"",Sold,"$7,250",Wednesday,November,27,1:48pm,23,https://bringatrailer.com/listing/1974-porsche-914-37/,"14,730",506,""
1973 Porsche 911E Race Car,No,No,1973,Porsche,Porsche Longhood 911,"",1970s,German,Race Cars,58,Kish1 (https://bringatrailer.com/member/kish1/) ,,"","",brakekiller (https://bringatrailer.com/member/brakekiller/) ,,,,"",Sold,"$55,000",Wednesday,November,27,1:15pm,19,https://bringatrailer.com/listing/1973-porsche-911e-coupe-10/,"17,765",775,""
1963 Devin C Project,No,No,1963,"","","",1960s,American,Race Cars,50,georgeholt (https://bringatrailer.com/member/georgeholt/) ,,Black,,jfriopelle (https://bringatrailer.com/member/jfriopelle/) ,16k,Miles,,"",Sold,"$40,000",Friday,November,22,2:42pm,30,https://bringatrailer.com/listing/1963-devin-c-type-factory-built-devin-c-type/,"11,708",377,"Red over Red/Black, Black Soft Top"
1968 Fiat 124 Spider Race Car,No,Yes,1968,Fiat,Fiat 124 Spider (1966-1985),"",1960s,Italian,Race Cars,51,Koemmover (https://bringatrailer.com/member/koemmover/) ,,"","",denie (https://bringatrailer.com/member/denie/) ,,,,"",Sold,"$5,900",Friday,November,22,2:04pm,45,https://bringatrailer.com/listing/1968-fiat-124-spider/,"11,645",418,""
1971 Plymouth Road Runner NASCAR Tribute,No,No,1971,Plymouth,Plymouth Road Runner,"",1970s,American,Race Cars,38,Berrost (https://bringatrailer.com/member/berrost/) ,,Orange,,,,,,"",Not Sold,"Bid to $11,500",Thursday,November,21,2:06pm,16,https://bringatrailer.com/listing/1971-plymouth-road-runner-3/,"13,055",355,Orange and White with Graphics
1991 Ginetta G4 Race Car,No,No,1991,Ginetta,"","",1990s,British,Race Cars,42,JohnnyC (https://bringatrailer.com/member/johnnyc/) ,,"","",,,,,"",Not Sold,"Bid to $27,000",Wednesday,November,20,12:28pm,31,https://bringatrailer.com/listing/1991-ginetta-g/,"11,505",382,""
Grand Prix Squalo Child Racer Project,No,Yes,,Ferrari,"","",1950s,American,"Projects, Race Cars",53,dima (https://bringatrailer.com/member/dima/) ,,"","",carguru29 (https://bringatrailer.com/member/carguru29/) ,,,,,Sold,"$11,000",Tuesday,November,19,1:55pm,14,https://bringatrailer.com/listing/1956-ferrari-grand-prix-squalo-child-racer/,"11,402",343,""
2002 Mazda MX-5 Spec Miata Race Car,No,Yes,2002,Mazda,Mazda NB MX-5 Miata,eunosmx-5mx5nbnb miata,2000s,Japanese,Race Cars,144,911r (https://bringatrailer.com/member/911r/) ,,"","",miataracer1728 (https://bringatrailer.com/member/miataracer1728/) ,,,,"",Sold,"$34,750",Monday,November,18,3:55pm,46,https://bringatrailer.com/listing/2002-mazda-mx-5-miata-31/,"39,596",782,""
2013 Ford Mustang Boss 302R Race Car,No,No,2013,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,30,cjewels (https://bringatrailer.com/member/cjewels/) ,,"","",,,,,"",Not Sold,"Bid to $32,000",Thursday,November,14,2:40pm,34,https://bringatrailer.com/listing/2013-ford-boss-302-r/,"10,971",377,""
1951 Jaguar XK120 Roadster Race Car,No,No,1951,Jaguar,Jaguar XK120,"",1950s,British,"Convertibles, Race Cars",121,SLGGR (https://bringatrailer.com/member/slggr/) ,,"","",,,,,"",Not Sold,"Bid to $59,500",Wednesday,November,13,1:41pm,16,https://bringatrailer.com/listing/1951-jaguar-xk120-roadster-2/,"18,998",701,""
1967 Chevrolet Camaro,No,No,1967,Chevrolet,Chevrolet Camaro 1st Generation 1967-1969,"",1960s,American,Race Cars,65,colleen365gtb4 (https://bringatrailer.com/member/colleen365gtb4/) ,,Green,,,,,,"",Not Sold,"Bid to $30,250",Tuesday,November,12,3:35pm,11,https://bringatrailer.com/listing/1967-chevrolet-camaro-72/,"10,764",419,Blue w/Green Rally Stripes
1968 LeGrand Mk. 7 Formula 5000 Race Car,No,No,1968,"","","",1960s,American,Race Cars,61,ansamotorsports (https://bringatrailer.com/member/ansamotorsports/) ,,"","",,,,,"",Not Sold,"Bid to $36,000",Tuesday,November,12,3:14pm,18,https://bringatrailer.com/listing/1968-le-grand-formula-5000/,"17,863",568,""
Supercharged 4.0L 2003 Nissan 350Z Race Car,No,No,2003,Nissan,Nissan 350Z,"",2000s,Japanese,Race Cars,31,craZee (https://bringatrailer.com/member/crazee/) ,,Silver,,Ehsan143 (https://bringatrailer.com/member/ehsan143/) ,,,,"",Sold,"$16,750",Tuesday,November,12,2:20pm,8,https://bringatrailer.com/listing/2003-nissan-350z-21/,"16,976",247,"Black, Red, & Silver"
1999 Jordan 199 F1 Roller,No,No,1999,"","","",1990s,"",Race Cars,71,irish (https://bringatrailer.com/member/irish/) ,,"","",T61auto (https://bringatrailer.com/member/t61auto/) ,,,,"",Sold,"$35,000",Friday,November,8,1:20pm,19,https://bringatrailer.com/listing/1999-jordan-199-f1-roller/,"22,117",612,""
1984 Porsche 911 Carrera Group 5 Tribute Race Car,No,No,1984,Porsche,Porsche 911 Carrera 3.2,911impact bumperimpact-bumper,1980s,German,Race Cars,58,tkasser (https://bringatrailer.com/member/tkasser/) ,,"","",,,,,"",Not Sold,"Bid to $64,000",Friday,November,8,1:14pm,28,https://bringatrailer.com/listing/1984-porsche-911-carrera-43/,"14,323",681,""
2012 Ford Mustang Boss 302R Lightweight XX1,No,No,2012,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,67,Woody8904 (https://bringatrailer.com/member/woody8904/) ,,"","",Racer302 (https://bringatrailer.com/member/racer302/) ,79,Miles,,"",Sold,"$85,500",Thursday,November,7,2:50pm,20,https://bringatrailer.com/listing/2012-ford-mustang-14/,"16,432",434,""
1965 Ford Mustang Race Car,No,No,1965,Ford,Ford Mustang 1964.5-1966,"",1960s,American,Race Cars,51,mustangracer (https://bringatrailer.com/member/mustangracer/) ,,White,,stevejhummel (https://bringatrailer.com/member/stevejhummel/) ,,,,"",Sold,"$19,750",Thursday,November,7,1:04pm,28,https://bringatrailer.com/listing/1965-ford-mustang-97/,"14,606",462,Repainted White in 2015
2018 Griiip G1 F1000 Racecar,No,No,2018,"","","",2010s,"",Race Cars,67,Steve-AF1Racing (https://bringatrailer.com/member/steve-af1racing/) ,,"","",,,,,"",Not Sold,"Bid to $30,000",Tuesday,November,5,3:40pm,12,https://bringatrailer.com/listing/2018-griiip-g1-f1000-racecar/,"23,356",622,""
2008 Ford Mustang FR500S Race Car,No,No,2008,Ford,Ford Mustang S197 2005-2014,"",2000s,American,Race Cars,73,mustangs1 (https://bringatrailer.com/member/mustangs1/) ,,"","",,"12,600",Miles,,"",Not Sold,"Bid to $22,500",Thursday,October,31,1:49pm,40,https://bringatrailer.com/listing/2008-ford-fr500s-mustang-race-car/,"8,943",372,""
1959 MG MGA Race Car,No,Yes,1959,MG,MG MGA,mgmg a,1950s,British,Race Cars,105,Cat_In_The_Bathtub (https://bringatrailer.com/member/cat_in_the_bathtub/) ,,Black,,Gmm (https://bringatrailer.com/member/gmm/) ,1k,Miles,,"",Sold,"$24,500",Wednesday,October,30,2:10pm,29,https://bringatrailer.com/listing/1959-mg-mga-26/,"17,425",605,"Black with Gold Striping, Black Interior with Aluminum Floors"
1959 Abarth 750 GT Allemano Spider Race Car,No,No,1959,Abarth,"","",1950s,Italian,Race Cars,56,DallasMotorsports75098 (https://bringatrailer.com/member/dallasmotorsports75098/) ,,"","",,8,Miles,,"",Not Sold,"Bid to $21,000",Friday,October,25,3:56pm,28,https://bringatrailer.com/listing/1959-abarth-allemano-2/,"12,719",467,""
1967 EMPI Crusader Volkswagen Sports Racer,No,No,1967,"","","",1960s,American,Race Cars,61,rfeds (https://bringatrailer.com/member/rfeds/) ,,"","",,,,,"",Not Sold,"Bid to $31,250",Thursday,October,24,4:15pm,29,https://bringatrailer.com/listing/1964-empi-crusader-sports-racer/,"12,900",447,""
2015 Off-Road Armoury Eurofighter Ultra4 Buggy,No,No,2015,"","","",2010s,British,"Race Cars, Truck & 4x4",74,911r (https://bringatrailer.com/member/911r/) ,,"","",,,,,"",Not Sold,"Bid to $25,550",Wednesday,October,23,1:57pm,32,https://bringatrailer.com/listing/2015-off-road-armory-eurofighter-ultra-4-race-buggy/,"21,500",424,""
Porsche 911 IMSA GTU Race Car,No,No,,Porsche,Porsche Longhood 911,"",1960s,German,Race Cars,57,pfriedman (https://bringatrailer.com/member/pfriedman/) ,,"","",,,,,"",Not Sold,"Bid to $61,000",Tuesday,October,22,12:08pm,20,https://bringatrailer.com/listing/1966-porsche-imsa-race-car/,"19,137",732,""
2004 Nissan 350Z Track Car,No,Yes,2004,Nissan,Nissan 350Z,"",2000s,Japanese,Race Cars,44,LotusRacer444 (https://bringatrailer.com/member/lotusracer444/) ,,Black,,Dan88 (https://bringatrailer.com/member/dan88/) ,10k,Miles,,"",Sold,"$18,000",Monday,October,21,1:50pm,6,https://bringatrailer.com/listing/2004-nissan-350z-4/,"11,317",183,Widebody Kit w/Black Vinyl
1969 Saab Sonett V4 Ice Racer,No,Yes,1969,Saab,Saab Sonett,"",1960s,Swedish,Race Cars,48,Hengst (https://bringatrailer.com/member/hengst/) ,,"","",WinkTimber (https://bringatrailer.com/member/winktimber/) ,,,,"",Sold,"$1,450",Monday,October,21,1:15pm,9,https://bringatrailer.com/listing/1969-saab-sonett-2/,"16,806",239,""
1999 Chevrolet Monte Carlo Stock Car,No,Yes,1999,Chevrolet,Chevrolet Monte Carlo,"",1990s,American,Race Cars,31,TheHitman (https://bringatrailer.com/member/thehitman/) ,,"","",Billvelvey (https://bringatrailer.com/member/billvelvey/) ,,,,"",Sold,"$8,023",Monday,October,21,12:25pm,28,https://bringatrailer.com/listing/1999-chevrolet-1999-chevrolet-monte-carlo-nascar-busch-grand-national-car/,"13,090",258,""
1961 Porsche 356B Race Car,No,No,1961,Porsche,Porsche 356,356,1960s,German,Race Cars,66,VicSkirmants (https://bringatrailer.com/member/vicskirmants/) ,,"","",mjacobellis (https://bringatrailer.com/member/mjacobellis/) ,,,,"",Sold,"$53,000",Friday,October,18,5:14pm,38,https://bringatrailer.com/listing/1961-porsche-356b-15/,"13,696",738,""
2001 Porsche 911 GT3 Cup,No,No,2001,Porsche,Porsche 996 GT3,"",2000s,German,Race Cars,52,SportsCarDigest (https://bringatrailer.com/member/sportscardigest/) ,,"","",Boostin (https://bringatrailer.com/member/boostin/) ,27k,Kilometers,,"",Sold,"$31,250",Tuesday,October,15,2:12pm,34,https://bringatrailer.com/listing/2001-porsche-gt3-cup-2/,"25,805",814,""
1972 Datsun 510 Race Car,No,No,1972,Datsun,Datsun 510,"",1970s,Japanese,Race Cars,52,BigBolt (https://bringatrailer.com/member/bigbolt/) ,,"","",Norm_Marshall (https://bringatrailer.com/member/norm_marshall/) ,Unknown,Unknown,,"",Sold,"$25,053",Friday,October,11,12:16pm,14,https://bringatrailer.com/listing/1972-datsun-510-34/,"14,565",459,""
2005 Subaru Impreza WRX STi Race Car,No,No,2005,Subaru,Subaru WRX STi,"",2000s,Japanese,Race Cars,43,rmontoni (https://bringatrailer.com/member/rmontoni/) ,,"","",pepperpants (https://bringatrailer.com/member/pepperpants/) ,,,,"",Sold,"$24,000",Thursday,October,10,2:50pm,26,https://bringatrailer.com/listing/2005-subaru-impreza-wrx-sti-15/,"18,959",386,""
Turbocharged 2014 Ariel Atom SRA w/ Trailer,No,No,2014,Ariel,Ariel Atom,"",2010s,British,Race Cars,79,palfonso (https://bringatrailer.com/member/palfonso/) ,,"","",Gigapunk (https://bringatrailer.com/member/gigapunk/) ,5k,Miles,,"",Sold,"$42,500",Thursday,October,10,1:29pm,45,https://bringatrailer.com/listing/2014-ariel-atom-2/,"14,752",698,""
1996 Pontiac Grand Prix NASCAR Race Car,No,Yes,1996,Pontiac,Pontiac Grand Prix,"",1990s,American,Race Cars,65,Faskitty (https://bringatrailer.com/member/faskitty/) ,,"","",RCMike (https://bringatrailer.com/member/rcmike/) ,,,,"",Sold,"$8,855",Thursday,October,10,12:16pm,38,https://bringatrailer.com/listing/1996-pontiac-nascar-road-course-penzoil-bahari-racing-051-laughlin/,"15,661",405,""
1988 Porsche 944 Track Car,No,Yes,1988,Porsche,Porsche 944 Turbo,951,1980s,German,Race Cars,85,hudsonstables (https://bringatrailer.com/member/hudsonstables/) ,,Grey,,Carnut4ever (https://bringatrailer.com/member/carnut4ever/) ,,,,"",Sold,"$35,944",Tuesday,October,8,1:29pm,38,https://bringatrailer.com/listing/1988-porsche-944-turbo-s-22/,"14,217",543,Graphite Grey & Martini Livery
1987 Mazda RX-7 GT2/3 Race Car,No,No,1987,Mazda,Mazda RX-7 FC,"",1980s,Japanese,Race Cars,48,bkd320 (https://bringatrailer.com/member/bkd320/) ,,"","",,Unknown,Unknown,,"",Not Sold,"Bid to $22,000",Monday,September,30,3:36pm,12,https://bringatrailer.com/listing/1987-baird-trivette-mazda-rx-7-gt2-3-race-car/,"15,583",290,""
1965 Ford Mustang Fastback Race Car,No,No,1965,Ford,Ford Mustang 1964.5-1966,"",1960s,American,Race Cars,71,chsutherland (https://bringatrailer.com/member/chsutherland/) ,,"","",,,,,,Not Sold,"Bid to $55,000",Monday,September,30,2:25pm,5,https://bringatrailer.com/listing/1965-ford-mustang-fastback-34/,"23,949",700,""
2003 Mazda MX-5 Miata Track Car,No,No,2003,Mazda,Mazda NB MX-5 Miata,eunosmx-5mx5nbnb miata,2000s,Japanese,Race Cars,38,Vorshlag (https://bringatrailer.com/member/vorshlag/) ,,Silver,,Longshot19 (https://bringatrailer.com/member/longshot19/) ,121k,Miles,,"",Sold,"$17,000",Monday,September,30,1:47pm,24,https://bringatrailer.com/listing/2003-mazda-mx-5-miata-11/,"16,454",476,Sunlight Silver Metallic
2001 Dallara F301 USF3 Race Car,No,No,2001,"","","",2000s,Italian,Race Cars,44,kazis31 (https://bringatrailer.com/member/kazis31/) ,,"","",,,,,"",Not Sold,"Bid to $20,250",Friday,September,27,1:41pm,30,https://bringatrailer.com/listing/2001-dallara-f301-usf3-f3/,"13,985",430,""
1998 Porsche Boxster 5-Speed Track Car,No,No,1998,Porsche,Porsche 986 Boxster,986,1990s,German,Race Cars,65,casciomotors (https://bringatrailer.com/member/casciomotors/) ,,"","",Fulkee01 (https://bringatrailer.com/member/fulkee01/) ,73k,Miles,,"",Sold,"$29,750",Thursday,September,26,2:26pm,16,https://bringatrailer.com/listing/1998-porsche-boxster-15/,"10,301",336,""
2013 Factory Five 818R,No,No,2013,Factory Five,"","",2010s,American,Race Cars,35,rfine9 (https://bringatrailer.com/member/rfine9/) ,,"","",,Unknown,Unknown,,"",Not Sold,"Bid to $15,500",Thursday,September,26,1:07pm,25,https://bringatrailer.com/listing/2013-factory-five-818/,"15,329",520,""
Porsche 911 3.0 RSR Tribute,No,No,,Porsche,Porsche 911 1974-1977,"",1970s,German,Race Cars,53,jacko241 (https://bringatrailer.com/member/jacko241/) ,,"","",,,,,"",Not Sold,"Bid to $49,750",Thursday,September,26,12:52pm,13,https://bringatrailer.com/listing/1974-porsche-3-0-rsr-tribute/,"13,730",600,""
2005 Nissan 350Z Race Car,No,No,2005,Nissan,Nissan 350Z,"",2000s,Japanese,Race Cars,63,rdlestrvled (https://bringatrailer.com/member/rdlestrvled/) ,,"","",fish2556 (https://bringatrailer.com/member/fish2556/) ,Unknown,Unknown,,"",Sold,"$25,000",Tuesday,September,24,2:30pm,28,https://bringatrailer.com/listing/2005-nissan-350z-9/,"13,819",257,""
1965 Miller-Crosley H-Mod Special,No,No,1965,"","","",1960s,American,Race Cars,26,DrAwender (https://bringatrailer.com/member/drawender/) ,,"","",,,,,"",Not Sold,"Bid to $25,000",Friday,September,20,3:01pm,18,https://bringatrailer.com/listing/1965-miller-crosley-h-mod-special-h-mod-special/,"9,797",304,""
1953 Studebaker Commander Race Car,No,No,1953,Studebaker,Studebaker Commander,"",1950s,American,Race Cars,56,smarty (https://bringatrailer.com/member/smarty/) ,,"","",,Unknown,Unknown,,"",Not Sold,"Bid to $18,000",Thursday,September,19,3:01pm,12,https://bringatrailer.com/listing/1953-studebaker-commander-5/,"14,471",395,""
2004 Ferrari 360 Challenge,No,No,2004,Ferrari,Ferrari 360,"",2000s,Italian,Race Cars,103,ssoldz (https://bringatrailer.com/member/ssoldz/) ,,White,,RobertPerrye (https://bringatrailer.com/member/robertperrye/) ,18k,Kilometers,,"",Sold,"$50,555",Thursday,September,19,1:05pm,31,https://bringatrailer.com/listing/2004-ferrari-360-challenge/,"21,532",760,Repainted in White ~2 Years Ago
1984 Chevrolet Corvette IMSA GTO Race Car,No,No,1984,Chevrolet,Chevrolet Corvette C4,c4,1980s,American,Race Cars,42,GregWalker (https://bringatrailer.com/member/gregwalker/) ,,"","",,,,,"",Not Sold,"Bid to $27,000",Wednesday,September,18,2:05pm,21,https://bringatrailer.com/listing/1984-chevrolet-corvette-7/,"13,798",283,""
1953 MG TD Hill Climb Racer,No,No,1953,MG,MG TD,"",1950s,British,Race Cars,44,Bmrice (https://bringatrailer.com/member/bmrice/) ,,White,,,Unknown,Unknown,,"",Not Sold,"Bid to $9,222",Friday,September,13,1:05pm,18,https://bringatrailer.com/listing/1953-mg-td-16-2/,"9,741",320,White w/Black Fenders
1988 Chevrolet Beretta IMSA GTU Race Car,No,No,1988,Chevrolet,"","",1990s,American,Race Cars,73,tommy92racer (https://bringatrailer.com/member/tommy92racer/) ,,"","",,,,,"",Not Sold,"Bid to $50,000",Tuesday,September,10,12:05pm,20,https://bringatrailer.com/listing/1986-chevrolet-beretta-imsa/,"24,922",442,""
1984 Denali-Mazda Camel Lights GTP Race Car,No,No,1984,"","","",1980s,American,Race Cars,65,1600veloce (https://bringatrailer.com/member/1600veloce/) ,,"","",,,,,"",Not Sold,"Bid to $81,500",Friday,September,6,12:05pm,13,https://bringatrailer.com/listing/1986-denali-mazda-camel-lights-gtp/,"24,522",615,""
1968 CAE 505 Sprint Car,No,No,1968,"","","",1960s,American,Race Cars,21,16C7guy (https://bringatrailer.com/member/16c7guy/) ,,"","",,,,,"",Not Sold,"Bid to $7,000",Thursday,September,5,2:11pm,10,https://bringatrailer.com/listing/1968-cae-vintage-sprint-car-cae-505-sprint-car/,"11,474",208,""
1959 Mini Race Car,No,No,1959,Mini,Mini Classic,"",1950s,British,Race Cars,78,dogsbreath8304 (https://bringatrailer.com/member/dogsbreath8304/) ,,White,,13-01 (https://bringatrailer.com/member/13-01/) ,,,,"",Sold,"$12,000",Wednesday,September,4,12:10pm,10,https://bringatrailer.com/listing/1959-austin-mini-cooper/,"10,831",400,Blue w/White Roof
Championship-Winning 2013 Phoenix F1K.12 F1000,No,No,2013,"","","",2010s,American,Race Cars,31,f1000racer (https://bringatrailer.com/member/f1000racer/) ,,"","",keach31 (https://bringatrailer.com/member/keach31/) ,,,,"",Sold,"$29,500",Monday,September,2,1:59pm,9,https://bringatrailer.com/listing/2013-phoenix-f1000/,"10,699",222,""
1965 Ferrari 330 GTO Re-Creation,No,No,1965,Ferrari,Ferrari 330 GT 2+2,"",1960s,Italian,Race Cars,484,colleen365gtb4 (https://bringatrailer.com/member/colleen365gtb4/) ,,"","",Den54 (https://bringatrailer.com/member/den54/) ,,,,"",Sold,"$420,000",Monday,September,2,1:41pm,44,https://bringatrailer.com/listing/1965-ferrari-330gt-2/,"69,922","1,907",""
1966 Ford Mustang Shelby GT350R Tribute Race Car,No,No,1966,Ford,Ford Mustang 1964.5-1966,replica,1960s,American,Race Cars,232,autospa (https://bringatrailer.com/member/autospa/) ,,White,,,"2,700",Miles,,"",Not Sold,"Bid to $63,500",Friday,August,30,3:53pm,44,https://bringatrailer.com/listing/1966-ford-mustang-fastback-29/,"26,531",866,"Painted White with Blue Stripes, Goodyear Blue Streak Tires"
1987 Alfa Romeo Spider Track Car,No,No,1987,Alfa Romeo,Alfa Romeo 105/115 Spider Series 3,"",1980s,Italian,Race Cars,14,Oferk65 (https://bringatrailer.com/member/oferk65/) ,,"","",Lcarchia (https://bringatrailer.com/member/lcarchia/) ,Unknown,Unknown,,"",Sold,"$9,000",Thursday,August,29,3:28pm,26,https://bringatrailer.com/listing/1987-alfa-romeo-spider-16/,"7,021",219,""
1950 Allard J2,No,No,1950,Allard,"","",1950s,British,Race Cars,73,Dominicdob (https://bringatrailer.com/member/dominicdob/) ,,"","",,7k,Miles,,"",Not Sold,"Bid to $120,000",Tuesday,August,27,12:50pm,13,https://bringatrailer.com/listing/1950-allard-j2/,"15,466",507,""
1973 Porsche 914 Race Car,No,No,1973,Porsche,Porsche 914 1.7/1.8/2.0,"",1970s,German,Race Cars,94,Ronmistak (https://bringatrailer.com/member/ronmistak/) ,,"","",,,,,"",Not Sold,"Bid to $28,250",Thursday,August,22,12:39pm,23,https://bringatrailer.com/listing/1973-porsche-914-31/,"24,066",541,""
V8-Powered 1953 Austin-Healey 100 Race Car,No,No,1953,Austin-Healey,Austin-Healey 100,"",1950s,British,"Convertibles, Race Cars",93,GKC (https://bringatrailer.com/member/gkc/) ,,"","",,,,,"",Not Sold,"Bid to $78,500",Wednesday,August,21,1:47pm,43,https://bringatrailer.com/listing/1953-austin-healey-healey-chevy-vintage-racing-special/,"18,281",649,""
1995 Porsche 911 Carrera Cup 3.8,No,No,1995,Porsche,Porsche 993 911 (Non-Turbo/GT2),"",1990s,German,Race Cars,50,BrandonH (https://bringatrailer.com/member/brandonh/) ,,White,,,63k,Indicated,,"",Not Sold,"Bid to $140,000",Wednesday,August,21,12:25pm,29,https://bringatrailer.com/listing/1996-porsche-911-supercup/,"16,903",677,Finished in Grand Prix White
1967 McLaren M1C,No,No,1967,McLaren,McLaren Racing,"",1960s,British,Race Cars,136,chsutherland (https://bringatrailer.com/member/chsutherland/) ,,"","",,,,,"",Not Sold,"Bid to $136,000",Tuesday,August,20,11:50am,10,https://bringatrailer.com/listing/1967-mclaren-m1c/,"32,929","1,036",""
1971 Chevrolet Nova Drag Car,No,No,1971,Chevrolet,Chevrolet Nova,"",1970s,American,Race Cars,74,the_patina_group (https://bringatrailer.com/member/the_patina_group/) ,,"","",,35k,Indicated,,"",Not Sold,"Bid to $15,750",Monday,August,19,1:15pm,29,https://bringatrailer.com/listing/1971-chevrolet-nova-3/,"15,188",318,""
1967 Datsun 1600 Roadster Race Car,No,Yes,1967,Datsun,Datsun Roadster,"",1960s,Japanese,"Convertibles, Race Cars",87,cfujgo (https://bringatrailer.com/member/cfujgo/) ,,Purple,,Tomme9 (https://bringatrailer.com/member/tomme9/) ,,,,"",Sold,"$21,000",Monday,August,19,12:14pm,31,https://bringatrailer.com/listing/1967-datsun-1600-roadster-11/,"11,311",365,Purple Exterior Finish
Period-Raced 1956 Lotus Eleven Le Mans,No,No,1956,Lotus,"","",1950s,British,Race Cars,117,jeffsnook (https://bringatrailer.com/member/jeffsnook/) ,,"","",Vulpusracing (https://bringatrailer.com/member/vulpusracing/) ,,,,"",Sold,"$147,000",Thursday,August,15,1:05pm,21,https://bringatrailer.com/listing/1956-lotus-11/,"35,540","1,075",""
2012 Ford Mustang Boss 302S Factory-Built Race Car,No,No,2012,Ford,Ford Mustang S197 2005-2014,"",2010s,American,Race Cars,52,IHeartMiatas (https://bringatrailer.com/member/iheartmiatas/) ,,"","",,,,,"",Not Sold,"Bid to $47,250",Tuesday,August,13,1:45pm,32,https://bringatrailer.com/listing/2012-ford-mustang-boss-302s-race-car/,"14,053",477,""
1987 Porsche 962 IMSA GTP,No,No,1987,Porsche,"","",1980s,German,Race Cars,339,FantasyJunction (https://bringatrailer.com/member/fantasyjunction/) ,,"","",Lion278 (https://bringatrailer.com/member/lion278/) ,,,,"",Sold,"$960,000",Tuesday,August,13,11:45am,36,https://bringatrailer.com/listing/1987-porsche-962/,"101,304","2,205",""
1973 Alfa Romeo GTV Race Car,No,No,1973,Alfa Romeo,Alfa Romeo 105/115 Series Coupe,"",1970s,Italian,Race Cars,43,Alfaward (https://bringatrailer.com/member/alfaward/) ,,"","",rocalfa (https://bringatrailer.com/member/rocalfa/) ,,,,"",Sold,"$25,000",Monday,August,12,2:32pm,18,https://bringatrailer.com/listing/1973-alfa-romeo-gtv-2000-12/,"13,554",575,""
2012 Lotus Evora GT4 Cup,No,No,2012,Lotus,Lotus Evora,"",2010s,British,Race Cars,51,TenPedal (https://bringatrailer.com/member/tenpedal/) ,,"","",Zahntoid (https://bringatrailer.com/member/zahntoid/) ,,,,"",Sold,"$65,000",Thursday,August,8,2:37pm,27,https://bringatrailer.com/listing/2012-lotus-evora-gt4-cup/,"22,171",651,""
1968 Chevrolet Corvette Greenwood Tribute Race Car,No,No,1968,Chevrolet,Chevrolet Corvette C3,c3,1970s,American,Race Cars,63,tommy92racer (https://bringatrailer.com/member/tommy92racer/) ,,White,,,,,,"",Not Sold,"Bid to $42,000",Thursday,August,8,12:30pm,13,https://bringatrailer.com/listing/1968-chevrolet-corvette-9-2/,"16,058",386,"Red, White, and Blue Livery"
Ex-Petersen-Exhibited 1959 GSM Dart,No,Yes,1959,"","","","","British, Italian",Race Cars,33,eurocol (https://bringatrailer.com/member/eurocol/) ,,"","",Chepomps (https://bringatrailer.com/member/chepomps/) ,46k,Miles,,"",Sold,"$16,000",Monday,August,5,2:16pm,13,https://bringatrailer.com/listing/1959-alfa-romeo-alfa-gsm-dart-2/,"5,366",154,""
